Id,	Eps,	maxEps,	NDF,	rknn,	knn_value,	knn
0,	0.00,	0.49,	0.00,	0,	3,	 1 12 13
1,	0.00,	0.49,	1.00,	3,	3,	 12 13 2
2,	0.00,	0.48,	0.67,	2,	3,	 3 11 17
3,	0.00,	0.48,	1.00,	3,	3,	 4 11 2
4,	0.00,	0.48,	0.33,	1,	3,	 3 14 11
5,	0.00,	0.48,	0.67,	2,	3,	 10 9 15
6,	0.00,	0.48,	1.33,	4,	3,	 7 8 9
7,	0.00,	0.48,	1.00,	3,	3,	 6 8 9
8,	0.00,	0.48,	1.00,	3,	3,	 7 6 9
9,	0.00,	0.48,	1.67,	5,	3,	 6 7 8
10,	0.00,	0.48,	0.67,	2,	3,	 5 9 6
11,	0.00,	0.48,	2.33,	7,	3,	 16 3 18
12,	0.00,	0.48,	1.00,	3,	3,	 13 1 17
13,	0.00,	0.48,	1.00,	3,	3,	 12 1 17
14,	0.00,	0.48,	1.33,	4,	3,	 18 16 11
15,	0.00,	0.48,	0.33,	1,	3,	 5 14 10
16,	0.00,	0.48,	1.33,	4,	3,	 18 11 14
17,	0.00,	0.48,	1.00,	3,	3,	 16 18 11
18,	0.00,	0.48,	1.33,	4,	3,	 16 14 11
19,	0.04,	0.61,	0.33,	1,	3,	 20 21 22
20,	0.03,	0.63,	0.33,	1,	3,	 19 21 22
21,	0.02,	0.64,	1.00,	3,	3,	 22 29 30
22,	0.01,	0.66,	1.00,	3,	3,	 21 27 28
23,	0.01,	0.67,	1.00,	3,	3,	 24 25 26
24,	0.01,	0.67,	1.00,	3,	3,	 23 25 26
25,	0.01,	0.69,	1.00,	3,	3,	 26 24 23
26,	0.01,	0.69,	1.00,	3,	3,	 25 24 23
27,	0.01,	0.66,	1.33,	4,	3,	 30 29 28
28,	0.01,	0.67,	1.33,	4,	3,	 27 30 29
29,	0.01,	0.66,	1.33,	4,	3,	 30 27 28
30,	0.01,	0.66,	1.33,	4,	3,	 29 27 28
31,	0.00,	0.73,	0.67,	2,	3,	 52 50 49
32,	0.00,	0.74,	0.67,	2,	3,	 36 39 37
33,	0.01,	0.74,	0.33,	1,	3,	 34 32 36
34,	0.01,	0.74,	0.33,	1,	3,	 33 32 36
35,	0.00,	0.74,	0.00,	0,	3,	 40 38 41
36,	0.00,	0.74,	1.67,	5,	3,	 39 37 38
37,	0.00,	0.74,	1.00,	3,	3,	 36 39 38
38,	0.00,	0.74,	1.67,	5,	3,	 40 42 41
39,	0.00,	0.74,	1.00,	3,	3,	 36 37 38
40,	0.00,	0.74,	1.67,	5,	3,	 41 38 42
41,	0.00,	0.74,	2.00,	6,	3,	 40 42 47
42,	0.00,	0.74,	2.33,	7,	3,	 47 41 40
43,	0.00,	0.74,	0.33,	1,	3,	 45 42 47
44,	0.00,	0.73,	1.00,	3,	3,	 48 49 46
45,	0.00,	0.74,	0.33,	1,	3,	 43 42 47
46,	0.00,	0.74,	0.67,	2,	3,	 48 41 42
47,	0.00,	0.74,	1.67,	5,	3,	 42 41 40
48,	0.00,	0.73,	1.33,	4,	3,	 46 44 47
49,	0.00,	0.73,	1.00,	3,	3,	 50 44 48
50,	0.00,	0.73,	1.33,	4,	3,	 49 44 48
51,	0.00,	0.73,	0.33,	1,	3,	 52 31 50
52,	0.00,	0.73,	0.67,	2,	3,	 51 31 50
53,	0.00,	0.72,	1.00,	3,	3,	 55 54 57
54,	0.00,	0.72,	1.00,	3,	3,	 56 59 53
55,	0.00,	0.72,	1.00,	3,	3,	 53 57 58
56,	0.00,	0.72,	1.00,	3,	3,	 54 59 57
57,	0.00,	0.72,	1.67,	5,	3,	 59 56 53
58,	0.00,	0.72,	0.33,	1,	3,	 55 135 57
59,	0.00,	0.72,	1.00,	3,	3,	 56 57 54
60,	0.00,	0.72,	0.33,	1,	3,	 67 66 61
61,	0.00,	0.72,	1.67,	5,	3,	 66 62 67
62,	0.00,	0.72,	1.00,	3,	3,	 61 66 67
63,	0.00,	0.72,	0.00,	0,	3,	 65 64 70
64,	0.00,	0.72,	1.00,	3,	3,	 65 70 66
65,	0.00,	0.72,	1.00,	3,	3,	 64 70 66
66,	0.00,	0.72,	2.33,	7,	3,	 67 61 68
67,	0.00,	0.72,	1.67,	5,	3,	 66 61 68
68,	0.00,	0.72,	1.67,	5,	3,	 67 66 61
69,	0.00,	0.72,	0.67,	2,	3,	 68 135 62
70,	0.00,	0.72,	1.33,	4,	3,	 64 65 105
71,	0.01,	0.62,	1.33,	4,	3,	 73 72 167
72,	0.01,	0.62,	1.00,	3,	3,	 73 71 168
73,	0.01,	0.62,	1.33,	4,	3,	 72 71 168
74,	0.01,	0.66,	1.33,	4,	3,	 75 182 181
75,	0.01,	0.66,	1.00,	3,	3,	 74 182 181
76,	0.01,	0.68,	0.67,	2,	3,	 89 77 179
77,	0.01,	0.68,	1.00,	3,	3,	 89 185 184
78,	0.01,	0.70,	1.00,	3,	3,	 164 165 172
79,	0.00,	0.71,	1.00,	3,	3,	 186 87 171
80,	0.00,	0.72,	2.00,	6,	3,	 85 86 81
81,	0.00,	0.73,	1.33,	4,	3,	 84 80 85
82,	0.00,	0.73,	1.00,	3,	3,	 188 155 83
83,	0.01,	0.74,	0.33,	1,	3,	 82 156 188
84,	0.00,	0.72,	1.00,	3,	3,	 85 81 80
85,	0.00,	0.72,	1.67,	5,	3,	 84 80 86
86,	0.00,	0.72,	1.33,	4,	3,	 80 85 84
87,	0.00,	0.71,	1.33,	4,	3,	 79 171 186
88,	0.01,	0.69,	0.33,	1,	3,	 172 78 165
89,	0.01,	0.68,	1.33,	4,	3,	 77 76 185
90,	0.00,	0.71,	1.33,	4,	3,	 183 93 107
91,	0.00,	0.71,	0.00,	0,	3,	 92 95 94
92,	0.00,	0.71,	0.67,	2,	3,	 95 94 109
93,	0.00,	0.71,	1.00,	3,	3,	 183 107 90
94,	0.00,	0.71,	1.67,	5,	3,	 109 106 95
95,	0.00,	0.71,	1.00,	3,	3,	 92 94 109
96,	0.00,	0.71,	0.33,	1,	3,	 99 90 108
97,	0.00,	0.72,	0.67,	2,	3,	 100 98 104
98,	0.00,	0.72,	1.33,	4,	3,	 100 104 97
99,	0.00,	0.71,	1.67,	5,	3,	 102 108 96
100,	0.00,	0.72,	1.00,	3,	3,	 98 104 97
101,	0.00,	0.72,	0.67,	2,	3,	 103 104 102
102,	0.00,	0.71,	0.67,	2,	3,	 99 101 103
103,	0.00,	0.72,	1.00,	3,	3,	 104 98 101
104,	0.00,	0.72,	1.67,	5,	3,	 103 98 100
105,	0.00,	0.72,	0.33,	1,	3,	 70 68 60
106,	0.00,	0.71,	1.00,	3,	3,	 109 94 107
107,	0.00,	0.71,	2.00,	6,	3,	 183 93 90
108,	0.00,	0.71,	1.33,	4,	3,	 111 99 112
109,	0.00,	0.71,	1.67,	5,	3,	 106 94 107
110,	0.00,	0.71,	0.00,	0,	3,	 106 109 107
111,	0.00,	0.72,	0.67,	2,	3,	 112 108 99
112,	0.00,	0.72,	0.67,	2,	3,	 111 108 99
113,	0.00,	0.72,	1.00,	3,	3,	 115 126 114
114,	0.00,	0.72,	1.67,	5,	3,	 126 115 113
115,	0.00,	0.72,	1.00,	3,	3,	 126 113 114
116,	0.00,	0.73,	2.33,	7,	3,	 140 141 123
117,	0.00,	0.73,	1.00,	3,	3,	 137 118 122
118,	0.00,	0.73,	1.33,	4,	3,	 122 117 137
119,	0.00,	0.73,	1.00,	3,	3,	 121 123 116
120,	0.00,	0.73,	0.67,	2,	3,	 125 124 116
121,	0.00,	0.73,	0.67,	2,	3,	 119 123 116
122,	0.00,	0.73,	1.67,	5,	3,	 118 138 117
123,	0.00,	0.73,	1.00,	3,	3,	 119 121 116
124,	0.00,	0.73,	1.33,	4,	3,	 125 120 116
125,	0.00,	0.73,	1.00,	3,	3,	 124 120 140
126,	0.00,	0.72,	1.00,	3,	3,	 115 114 113
127,	0.00,	0.72,	0.67,	2,	3,	 128 129 114
128,	0.00,	0.72,	0.67,	2,	3,	 127 129 114
129,	0.00,	0.73,	0.67,	2,	3,	 128 134 127
130,	0.00,	0.73,	1.33,	4,	3,	 131 134 132
131,	0.00,	0.73,	1.33,	4,	3,	 132 134 130
132,	0.00,	0.73,	1.33,	4,	3,	 131 134 130
