Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.74        1.00        0.00        0           4            25 5 46 53
1           0.63        0.95        1.67        5           3            3 4 46
2           0.63        0.95        0.44        4           9            6 11 56 41 62 8 12 15 27
3           0.63        0.95        0.30        3           10           1 4 32 57 30 27 38 25 22 41
4           0.68        1.00        1.25        5           4            1 3 18 11
5           0.63        1.00        0.50        3           6            12 39 27 8 11 20
6           0.58        0.89        0.33        1           3            2 62 12
7           0.79        0.95        0.00        0           25           61 36 44 22 23 25 27 30 32 33 39 1 48 49 50 52 53 59 60 66 20 12 21 4 8
8           0.42        0.95        2.67        8           3            36 34 27
9           0.68        1.00        0.40        2           5            14 15 59 20 17
10          0.68        1.00        0.00        0           4            11 12 2 14
11          0.53        1.00        3.00        9           3            41 2 12
12          0.47        0.89        3.00        9           3            34 27 8
13          0.68        1.00        0.00        0           6            34 30 38 27 45 12
14          0.63        1.00        1.00        4           4            9 20 16 11
15          0.63        1.00        1.00        6           6            17 20 2 16 59 9
16          0.68        1.00        0.40        2           5            15 14 17 59 36
17          0.63        0.95        1.33        4           3            18 15 59
18          0.68        1.00        0.33        2           6            17 59 58 4 20 15
19          0.68        0.95        0.67        2           3            40 24 31
20          0.58        0.95        1.17        7           6            59 56 63 15 12 11
21          0.58        0.95        2.00        6           3            40 26 24
22          0.53        0.95        0.67        6           9            34 25 38 30 27 23 8 42 45
23          0.53        0.95        1.00        4           4            25 22 34 27
24          0.63        0.95        2.00        6           3            40 21 25
25          0.42        0.95        4.67        14          3            27 34 30
26          0.74        1.00        0.29        2           7            21 22 4 54 53 40 31
27          0.37        0.95        3.80        19          5            34 30 32 36 25
28          0.63        0.95        0.33        1           3            32 27 21
29          0.79        1.00        0.00        0           14           5 11 1 24 20 33 41 46 53 57 60 61 62 3
30          0.42        0.95        3.33        10          3            27 34 25
31          0.74        0.95        0.50        2           4            19 26 23 14
32          0.58        0.95        0.88        7           8            27 28 22 55 30 34 38 39
33          0.58        0.95        0.50        2           4            34 30 27 25
34          0.37        0.95        5.00        15          3            27 30 43
35          0.68        1.00        0.25        1           4            55 25 69 8
36          0.42        0.95        1.33        4           3            8 27 34
37          0.74        1.00        0.00        0           3            61 70 19
38          0.47        0.95        1.25        5           4            27 34 43 42
39          0.63        0.95        0.60        3           5            32 23 5 54 22
40          0.58        0.95        1.25        5           4            21 38 25 24
41          0.53        0.95        1.67        5           3            11 25 12
42          0.42        0.95        2.00        10          5            43 45 54 47 34
43          0.37        0.95        3.33        10          3            42 45 34
44          0.53        0.95        1.00        3           3            67 51 46
45          0.42        0.95        2.25        9           4            42 43 54 47
46          0.47        0.95        3.33        10          3            67 48 43
47          0.42        0.95        1.50        6           4            54 42 43 45
48          0.47        0.95        1.67        5           3            46 27 56
49          0.63        1.00        0.33        1           3            48 63 62
50          0.47        0.95        0.25        1           4            43 54 45 42
51          0.47        1.00        1.00        3           3            43 34 42
52          0.63        0.95        1.00        3           3            60 61 65
53          0.68        0.95        0.33        4           12           56 46 44 21 11 54 62 24 65 25 68 30
54          0.42        0.95        3.67        11          3            47 42 45
55          0.58        1.00        0.67        2           3            8 32 27
56          0.47        0.95        1.33        4           3            43 42 48
57          0.58        1.00        0.50        2           4            58 59 60 63
58          0.47        0.95        1.25        5           4            59 60 62 63
59          0.37        0.89        4.00        12          3            58 60 63
60          0.42        0.95        2.25        9           4            58 59 63 62
61          0.63        0.95        1.25        5           4            70 67 52 32
62          0.47        0.95        2.25        9           4            63 60 58 59
63          0.42        0.95        2.33        7           3            62 59 60
64          0.58        0.95        0.20        1           5            41 43 45 65 47
65          0.53        0.95        1.00        3           3            46 48 62
66          0.68        0.95        0.25        1           4            46 52 54 1
67          0.53        0.95        1.33        4           3            44 46 25
68          0.58        0.95        0.20        1           5            46 42 51 60 54
69          0.68        1.00        0.25        1           4            35 40 24 64
70          0.63        1.00        0.67        2           3            54 47 61
71          0.63        0.95        0.00        0           5            67 45 47 51 54
