Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.13        0.64        1.00        1           1            61
1           0.16        0.70        1.00        1           1            39
2           0.26        0.62        2.00        2           1            90
3           0.32        0.65        0.00        0           1            4
4           0.29        0.68        1.00        1           1            54
5           0.19        0.70        1.00        1           1            87
6           0.14        0.59        1.00        1           1            46
7           0.20        0.69        1.00        1           1            51
8           0.23        0.65        0.00        0           1            84
9           0.22        0.66        1.00        1           1            45
10          0.17        0.65        2.00        2           1            14
11          0.21        0.72        1.00        1           1            14
12          0.14        0.65        2.00        2           1            41
13          0.20        0.63        0.00        0           1            91
14          0.17        0.61        3.00        3           1            10
15          0.21        0.69        0.00        0           1            69
16          0.14        0.60        3.00        3           1            90
17          0.30        0.67        0.00        0           1            76
18          0.25        0.77        0.00        0           1            62
19          0.17        0.68        0.00        0           1            46
20          0.23        0.60        1.00        1           1            45
21          0.26        0.64        1.00        1           1            39
22          0.29        0.71        0.00        0           1            2
23          0.23        0.59        0.00        0           1            77
24          0.31        0.71        0.00        0           1            52
25          0.25        0.64        0.00        0           1            60
26          0.22        0.68        0.00        0           1            90
27          0.30        0.63        0.00        0           1            21
28          0.10        0.64        2.00        2           1            39
29          0.26        0.74        0.00        0           1            95
30          0.17        0.66        1.00        1           1            60
31          0.19        0.64        0.00        0           1            52
32          0.20        0.68        2.00        2           1            38
33          0.22        0.64        1.00        1           1            71
34          0.27        0.71        0.00        0           1            64
35          0.20        0.61        1.00        1           1            86
36          0.20        0.63        1.00        1           1            68
37          0.18        0.69        0.00        0           1            28
38          0.18        0.66        2.00        2           1            52
39          0.10        0.59        6.00        6           1            28
40          0.15        0.68        0.00        0           1            46
41          0.14        0.72        1.00        1           1            12
42          0.29        0.64        0.00        0           1            2
43          0.32        0.71        0.00        0           1            14
44          0.21        0.72        0.00        0           1            75
45          0.22        0.69        3.00        3           1            9
46          0.14        0.62        5.00        5           1            6
47          0.36        0.67        0.00        0           1            53
48          0.24        0.59        0.00        0           1            20
49          0.21        0.75        0.00        0           1            69
50          0.25        0.65        0.00        0           1            35
51          0.20        0.62        1.00        1           1            7
52          0.14        0.64        5.00        5           1            39
53          0.24        0.67        2.00        2           1            38
54          0.22        0.72        2.00        2           1            62
55          0.35        0.79        0.00        0           1            78
56          0.28        0.64        0.00        0           1            74
57          0.21        0.68        0.00        0           1            66
58          0.23        0.64        0.00        0           1            10
59          0.32        0.75        0.00        0           1            93
60          0.17        0.68        2.00        2           1            30
61          0.13        0.66        2.00        2           1            0
62          0.22        0.75        4.00        4           1            54
63          0.23        0.69        0.00        0           1            32
64          0.21        0.66        1.00        1           1            69
65          0.25        0.69        0.00        0           1            16
66          0.17        0.65        2.00        2           1            52
67          0.19        0.72        0.00        0           1            39
68          0.20        0.67        1.00        1           1            36
69          0.17        0.69        4.00        4           1            46
70          0.21        0.66        0.00        0           1            66
71          0.21        0.64        1.00        1           1            16
72          0.19        0.75        2.00        2           1            75
73          0.31        0.69        0.00        0           1            1
74          0.27        0.63        1.00        1           1            62
75          0.19        0.70        2.00        2           1            72
76          0.18        0.63        1.00        1           1            52
77          0.23        0.61        1.00        1           1            98
78          0.28        0.69        1.00        1           1            53
79          0.17        0.69        1.00        1           1            86
80          0.22        0.67        0.00        0           1            12
81          0.20        0.68        0.00        0           1            46
82          0.24        0.66        0.00        0           1            11
83          0.24        0.70        0.00        0           1            84
84          0.18        0.61        2.00        2           1            90
85          0.29        0.68        0.00        0           1            45
86          0.17        0.70        2.00        2           1            79
87          0.19        0.69        1.00        1           1            5
88          0.28        0.65        0.00        0           1            32
89          0.20        0.62        0.00        0           1            91
90          0.10        0.63        6.00        6           1            98
91          0.12        0.62        2.00        2           1            90
92          0.27        0.75        0.00        0           1            16
93          0.27        0.68        1.00        1           1            33
94          0.22        0.61        0.00        0           1            61
95          0.23        0.79        1.00        1           1            62
96          0.25        0.63        0.00        0           1            69
97          0.19        0.62        0.00        0           1            39
98          0.10        0.63        2.00        2           1            90
99          0.35        0.75        0.00        0           1            72
