Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.17        0.64        1.33        4           3            61 16 91
1           0.19        0.72        1.67        5           3            39 67 28
2           0.28        0.63        1.00        3           3            91 90 48
3           0.33        0.71        0.00        0           3            79 76 4
4           0.30        0.66        0.67        2           3            54 77 87
5           0.29        0.68        1.00        3           3            87 78 68
6           0.16        0.64        1.67        5           3            46 16 81
7           0.23        0.65        1.67        5           3            51 32 38
8           0.28        0.67        0.00        0           3            84 94 77
9           0.24        0.70        0.67        2           3            45 58 76
10          0.20        0.68        1.33        4           3            14 58 67
11          0.23        0.74        1.33        4           3            14 76 79
12          0.19        0.73        1.67        5           3            41 60 32
13          0.22        0.65        1.67        5           3            45 76 75
14          0.21        0.63        1.33        4           3            10 76 11
15          0.23        0.75        0.67        2           3            69 76 49
16          0.15        0.61        3.67        11          3            0 90 98
17          0.30        0.71        0.00        0           3            76 31 63
18          0.32        0.82        0.00        0           3            62 7 51
19          0.23        0.73        0.67        2           3            46 81 52
20          0.25        0.58        1.00        3           3            45 48 13
21          0.30        0.65        0.33        1           3            84 39 28
22          0.36        0.77        0.00        0           3            2 48 91
23          0.23        0.62        0.67        2           3            16 86 91
24          0.26        0.71        0.33        1           3            80 57 53
25          0.30        0.68        0.00        0           3            60 31 38
26          0.27        0.71        0.00        0           3            46 90 52
27          0.31        0.64        0.00        0           3            1 21 67
28          0.19        0.71        1.33        4           3            39 52 1
29          0.27        0.76        0.33        1           3            54 95 62
30          0.30        0.75        0.33        1           3            60 67 94
31          0.20        0.64        1.33        4           3            76 52 38
32          0.19        0.74        3.67        11          3            97 38 12
33          0.25        0.64        0.67        2           3            71 16 90
34          0.31        0.72        0.00        0           3            64 86 66
35          0.25        0.61        1.00        3           3            86 98 50
36          0.32        0.65        0.33        1           3            68 5 87
37          0.20        0.71        0.00        0           3            28 38 52
38          0.17        0.71        2.33        7           3            52 32 76
39          0.15        0.64        3.00        9           3            28 52 67
40          0.22        0.73        0.33        1           3            46 52 66
41          0.21        0.77        0.67        2           3            12 60 32
42          0.32        0.69        0.00        0           3            77 2 4
43          0.35        0.71        0.00        0           3            14 76 23
44          0.32        0.77        0.00        0           3            75 72 13
45          0.20        0.67        2.00        6           3            9 20 13
46          0.16        0.63        2.00        6           3            6 90 76
47          0.32        0.72        0.00        0           3            82 10 12
48          0.25        0.62        1.67        5           3            45 20 13
49          0.23        0.80        0.67        2           3            1 69 15
50          0.32        0.65        0.67        2           3            35 86 92
51          0.27        0.65        0.67        2           3            7 32 63
52          0.14        0.67        4.00        12          3            38 39 76
53          0.25        0.74        1.33        4           3            32 80 38
54          0.25        0.75        1.67        5           3            62 68 72
55          0.39        0.82        0.00        0           3            78 2 48
56          0.29        0.71        0.00        0           3            7 32 53
57          0.25        0.75        0.67        2           3            66 52 70
58          0.24        0.67        0.67        2           3            10 9 45
59          0.35        0.77        0.33        1           3            93 11 86
60          0.20        0.75        1.33        4           3            30 12 41
61          0.19        0.64        0.33        1           3            0 16 90
62          0.25        0.79        1.67        5           3            54 95 75
63          0.23        0.70        1.00        3           3            95 32 7
64          0.22        0.67        1.67        5           3            69 66 80
65          0.30        0.67        0.00        0           3            6 16 19
66          0.21        0.66        1.67        5           3            52 64 70
67          0.20        0.72        1.67        5           3            39 1 10
68          0.25        0.71        1.33        4           3            36 54 87
69          0.18        0.72        1.33        4           3            64 46 52
70          0.25        0.66        0.67        2           3            66 57 79
71          0.26        0.62        0.67        2           3            16 33 81
72          0.27        0.80        1.33        4           3            75 54 62
73          0.34        0.68        0.00        0           3            35 1 98
74          0.24        0.67        0.00        0           3            76 94 84
75          0.23        0.73        1.33        4           3            72 13 91
76          0.15        0.61        5.33        16          3            89 52 31
77          0.21        0.59        1.00        3           3            39 98 90
78          0.30        0.69        0.67        2           3            53 5 48
79          0.23        0.67        1.33        4           3            86 31 11
80          0.23        0.69        1.00        3           3            64 53 12
81          0.22        0.71        1.33        4           3            6 46 19
82          0.25        0.64        0.33        1           3            15 14 11
83          0.28        0.66        0.00        0           3            94 84 64
84          0.19        0.60        1.67        5           3            94 6 90
85          0.32        0.69        0.00        0           3            49 45 20
86          0.23        0.70        2.00        6           3            35 23 79
87          0.27        0.70        1.33        4           3            5 68 32
88          0.31        0.68        0.00        0           3            94 76 32
89          0.24        0.60        0.67        2           3            76 91 39
90          0.15        0.65        3.33        10          3            98 16 91
91          0.17        0.56        2.33        7           3            90 89 0
92          0.30        0.72        0.33        1           3            71 81 40
93          0.30        0.71        0.33        1           3            16 33 59
94          0.22        0.65        2.00        6           3            84 0 6
95          0.26        0.78        1.00        3           3            63 62 29
96          0.29        0.64        0.00        0           3            69 24 16
97          0.19        0.65        0.33        1           3            76 32 39
98          0.18        0.64        1.67        5           3            90 16 39
99          0.40        0.77        0.00        0           3            7 72 50
