Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.08        0.66        2.00        2           1            1
1           0.08        0.70        1.00        1           1            0
2           0.12        0.66        0.00        0           1            0
3           0.08        0.67        2.00        2           1            9
4           0.08        0.58        1.00        1           1            9
5           0.12        0.67        1.00        1           1            6
6           0.12        0.64        1.00        1           1            5
7           0.12        0.49        1.00        1           1            11
8           0.08        0.67        0.00        0           1            3
9           0.08        0.66        1.00        2           2            3 4
10          0.19        0.70        0.00        0           1            11
11          0.12        0.50        2.00        2           1            7
