Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           9.71        16.82       0.20        1           5            5 37 11 8 13
1           8.51        16.04       0.40        2           5            3 11 14 5 41
2           6.55        14.90       1.60        8           5            12 15 6 17 8
3           8.06        16.07       0.40        2           5            1 41 11 5 14
4           7.41        16.62       1.00        5           5            11 9 2 14 7
5           7.99        15.50       1.00        5           5            11 0 9 14 3
6           7.33        15.15       0.80        4           5            2 12 15 17 8
7           8.45        14.33       0.20        1           5            4 28 11 14 30
8           4.74        14.13       0.80        4           5            25 34 33 27 36
9           8.42        17.98       0.80        4           5            4 14 5 11 6
10          9.11        19.25       0.20        1           5            14 2 4 15 9
11          6.26        14.23       2.60        13          5            20 4 12 14 5
12          6.53        13.45       0.60        3           5            2 11 8 6 30
13          6.74        13.99       0.20        1           5            33 41 21 34 25
14          7.46        16.31       1.80        9           5            11 9 4 20 10
15          6.51        18.47       1.40        7           5            17 16 18 2 11
16          7.25        18.72       0.60        3           5            18 15 17 2 11
17          6.83        20.64       1.00        5           5            15 16 18 2 6
18          8.36        21.07       0.60        3           5            16 15 17 2 11
19          6.64        12.93       0.20        1           5            37 24 28 53 31
20          8.74        16.14       0.40        2           5            11 14 59 15 1
21          2.96        16.89       1.20        6           5            40 33 34 27 25
22          2.56        17.51       2.40        12          5            34 25 30 38 23
23          3.50        18.65       1.20        6           5            34 22 25 24 27
24          3.55        17.35       1.40        7           5            34 22 33 23 25
25          2.55        15.94       3.00        15          5            34 27 22 40 33
26          4.39        18.10       0.60        3           5            21 71 24 33 31
27          2.80        15.47       2.20        11          5            25 34 36 21 38
28          3.71        14.84       0.60        3           5            27 25 32 34 21
29          6.69        16.28       0.00        0           5            22 24 30 34 33
30          3.36        15.95       1.40        7           5            22 34 38 25 27
31          4.83        17.07       0.60        3           5            24 26 39 23 34
32          3.52        17.72       1.00        5           5            55 27 38 61 28
33          3.10        16.06       1.60        8           5            34 25 21 40 24
34          2.44        16.78       3.60        18          5            22 25 27 23 30
35          4.40        19.90       0.20        1           5            55 24 71 32 38
36          3.75        15.92       0.40        2           5            27 25 34 32 42
37          5.16        14.81       0.60        3           5            30 22 19 26 53
38          3.10        17.90       1.20        6           5            22 34 30 27 25
39          4.12        17.73       0.20        1           5            22 23 34 32 38
40          2.79        16.51       0.60        3           5            25 21 34 22 33
41          5.56        14.79       0.60        3           5            25 34 23 22 27
42          1.41        19.11       2.20        11          5            43 45 54 68 51
43          1.11        19.68       2.80        14          5            45 42 51 54 44
44          2.06        19.72       1.80        9           5            43 45 51 42 54
45          1.14        19.85       2.60        13          5            43 42 51 54 44
46          2.49        19.39       0.60        3           5            43 45 50 44 51
47          2.02        18.65       1.20        6           5            45 43 42 71 54
48          3.72        16.52       0.40        2           5            50 54 42 56 49
49          5.12        17.99       0.20        1           5            48 50 60 68 64
50          2.57        18.34       1.40        7           5            45 43 54 46 42
51          1.79        19.07       1.40        7           5            43 45 42 44 54
52          5.68        15.82       0.80        4           5            60 58 61 63 59
53          5.24        16.07       0.60        3           5            71 26 22 37 31
54          2.02        19.41       2.20        11          5            45 43 42 51 47
55          3.87        18.46       1.00        5           5            64 61 32 35 47
56          5.42        17.88       0.40        2           5            48 46 42 68 50
57          5.88        16.82       0.20        1           5            58 60 66 50 63
58          3.99        16.54       1.40        7           5            60 64 63 52 57
59          5.68        13.71       0.80        4           5            63 62 60 58 52
60          4.07        16.91       1.60        8           5            58 63 52 66 62
61          3.12        20.29       1.40        7           5            44 71 67 43 55
62          5.61        16.31       0.60        3           5            63 60 58 59 53
63          4.91        17.30       1.40        7           5            62 60 58 59 61
64          3.45        17.58       1.00        5           5            47 55 45 43 44
65          6.78        13.46       0.00        0           5            56 52 64 63 58
66          3.98        19.08       0.40        2           5            54 50 46 44 60
67          3.04        19.25       0.20        1           5            44 50 61 43 45
68          2.41        19.20       0.80        4           5            42 43 45 54 51
69          4.71        19.12       0.00        0           5            47 55 61 64 71
70          3.71        21.07       0.00        0           5            45 43 47 54 68
71          2.89        19.45       1.20        6           5            47 44 61 45 43
