Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           1.69        7.08        1.00        5           5            61 13 94 16 84
1           1.93        7.12        2.00        10          5            7 31 70 79 35
2           2.78        7.46        1.00        5           5            42 21 92 22 88
3           3.85        7.39        0.20        1           5            42 87 21 99 4
4           3.15        8.65        1.00        5           5            72 54 87 75 5
5           3.86        8.26        0.60        3           5            87 36 68 4 74
6           1.84        6.40        1.20        6           5            46 16 94 90 23
7           1.76        5.70        2.60        13          5            31 51 1 32 38
8           2.67        7.16        0.00        0           5            6 77 90 94 84
9           2.80        7.69        0.20        1           5            35 76 86 32 15
10          1.82        7.04        2.20        11          5            58 12 86 52 66
11          2.05        6.50        0.40        2           5            76 14 98 82 64
12          1.98        6.81        1.60        8           5            10 60 25 52 1
13          1.67        6.57        1.60        8           5            0 16 84 91 98
14          1.95        5.56        1.00        5           5            97 82 84 77 11
15          1.74        6.46        2.40        12          5            97 39 49 76 52
16          1.49        6.50        2.80        14          5            90 6 61 0 46
17          3.52        7.19        0.20        1           5            32 63 89 51 76
18          3.38        8.38        0.20        1           5            75 44 62 7 54
19          2.55        7.45        1.40        7           5            40 92 52 21 88
20          2.10        6.56        0.80        4           5            45 16 90 13 71
21          2.72        7.12        1.40        7           5            2 42 19 88 22
22          3.54        7.56        0.40        2           5            21 2 42 48 84
23          1.87        6.18        1.00        5           5            84 91 98 6 97
24          2.85        8.48        0.20        1           5            53 52 38 32 79
25          2.13        6.93        1.20        6           5            38 12 60 31 7
26          2.50        7.55        0.20        1           5            90 45 46 98 64
27          2.70        7.38        0.00        0           5            71 81 16 6 82
28          2.14        6.96        0.80        4           5            39 52 84 15 25
29          3.03        8.94        0.40        2           5            95 54 74 62 13
30          2.46        6.98        0.00        0           5            94 23 67 97 41
31          1.88        6.36        1.60        8           5            7 38 1 79 32
32          1.96        5.94        2.60        13          5            51 7 31 53 1
33          2.53        7.07        0.60        3           5            90 74 16 96 97
34          2.29        8.51        0.40        2           5            86 50 66 10 58
35          1.93        7.28        1.20        6           5            76 9 86 98 1
36          3.93        7.09        0.60        3           5            68 5 87 70 54
37          2.30        7.70        0.20        1           5            49 52 39 15 28
38          1.76        6.51        1.40        7           5            52 25 53 31 7
39          1.59        6.75        2.40        12          5            91 98 52 28 97
40          2.09        7.50        0.60        3           5            46 15 69 52 19
41          2.16        7.39        0.40        2           5            67 12 60 52 10
42          2.69        6.41        1.80        9           5            77 2 99 21 88
43          2.83        6.50        0.00        0           5            51 14 32 48 7
44          3.00        9.14        1.00        5           5            75 54 18 59 62
45          1.91        7.34        1.00        5           5            20 64 90 16 13
46          1.52        6.28        1.20        6           5            69 6 40 16 98
47          3.82        8.65        0.00        0           5            25 12 10 66 79
48          2.52        6.25        0.40        2           5            20 45 77 16 14
49          1.96        7.76        1.20        6           5            37 52 15 39 69
