Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           1.99        10.72       3.00        9           3            13 90 23
1           4.09        10.51       0.33        1           3            31 70 35
2           3.11        10.31       2.00        6           3            21 48 90
3           4.16        11.99       0.67        2           3            21 5 42
4           5.16        12.65       0.00        0           3            54 5 75
5           3.85        11.79       1.33        4           3            87 36 3
6           4.54        12.22       0.00        0           3            81 23 90
7           6.10        12.50       0.00        0           3            76 70 14
8           3.20        9.81        0.00        0           3            90 81 23
9           5.06        10.60       0.00        0           3            35 13 52
10          5.52        12.86       0.00        0           3            12 52 14
11          2.41        9.66        2.00        6           3            14 97 35
12          2.12        9.73        4.33        13          3            52 53 14
13          1.95        10.24       3.00        9           3            0 97 20
14          2.12        9.39        4.00        12          3            97 11 12
15          2.56        10.09       0.00        0           3            39 97 52
16          3.14        9.96        0.33        1           3            13 0 61
17          3.54        10.74       0.33        1           3            43 50 11
18          5.36        12.46       0.00        0           3            75 62 54
19          3.68        11.08       0.33        1           3            52 53 81
20          2.24        10.89       1.33        4           3            13 90 48
21          3.11        10.39       2.33        7           3            2 27 39
22          4.29        12.20       0.00        0           3            2 21 48
23          1.99        9.42        4.67        14          3            97 90 0
24          6.27        13.59       0.00        0           3            53 52 38
25          4.38        11.16       0.00        0           3            12 28 39
26          5.37        11.69       0.00        0           3            90 52 39
27          2.88        10.74       0.33        1           3            81 23 39
28          2.47        9.39        1.33        4           3            39 52 23
29          2.83        11.73       1.00        3           3            54 95 62
30          3.49        11.02       0.00        0           3            23 97 11
31          3.96        10.53       0.33        1           3            1 52 53
32          4.78        11.22       0.00        0           3            51 53 12
33          2.69        11.47       1.00        3           3            90 96 97
34          2.44        9.28        1.00        3           3            66 50 52
35          2.35        9.19        3.33        10          3            50 86 39
36          4.35        11.73       0.33        1           3            5 70 48
37          5.99        12.85       0.00        0           3            49 52 28
38          3.71        11.42       0.33        1           3            52 66 53
39          1.89        9.48        6.33        19          3            28 52 97
40          5.53        12.97       0.00        0           3            52 66 50
41          6.35        13.85       0.00        0           3            12 52 53
42          3.36        11.67       1.00        3           3            99 2 21
43          2.97        9.60        1.00        3           3            14 48 23
44          5.82        15.17       0.00        0           3            75 54 72
45          3.78        12.41       0.00        0           3            20 13 90
46          3.94        12.03       0.00        0           3            69 81 90
47          7.87        15.17       0.00        0           3            66 12 52
48          2.58        10.04       1.67        5           3            20 43 14
49          3.11        10.88       0.67        2           3            52 39 69
50          2.39        9.21        1.33        4           3            34 35 39
51          3.42        9.87        0.33        1           3            12 43 35
52          1.72        9.28        9.00        27          3            66 53 39
53          2.00        10.09       5.00        15          3            52 66 12
54          2.43        11.68       3.00        9           3            62 75 29
55          4.86        12.60       0.00        0           3            2 21 19
56          4.08        10.04       0.00        0           3            53 12 23
57          4.43        11.88       0.00        0           3            70 66 52
58          3.60        10.66       0.00        0           3            52 14 66
59          3.55        11.48       0.33        1           3            35 75 11
60          4.18        11.49       0.00        0           3            12 53 14
61          3.51        11.03       0.33        1           3            0 16 90
62          2.83        12.01       3.00        9           3            54 75 29
63          5.82        12.31       0.00        0           3            17 11 14
64          4.03        11.48       0.00        0           3            69 90 52
65          5.56        13.72       0.00        0           3            20 13 42
66          1.97        9.46        3.33        10          3            52 70 53
67          4.50        11.93       0.00        0           3            39 97 12
68          5.62        12.97       0.00        0           3            54 62 75
69          2.36        9.82        2.67        8           3            97 52 39
70          2.29        9.59        2.67        8           3            66 53 52
71          5.00        12.35       0.00        0           3            81 35 90
72          4.55        12.96       0.33        1           3            75 54 62
73          3.43        10.16       0.00        0           3            35 70 12
74          6.24        15.20       0.00        0           3            33 97 62
75          2.49        11.30       2.67        8           3            54 62 13
76          5.43        12.09       0.33        1           3            97 35 11
77          4.29        11.54       0.00        0           3            14 23 39
78          4.43        11.73       0.00        0           3            53 70 2
79          8.65        15.20       0.00        0           3            53 12 52
80          4.49        12.09       0.00        0           3            53 66 70
81          2.67        10.28       2.67        8           3            90 23 69
82          3.53        11.30       0.00        0           3            69 52 14
83          3.00        10.25       0.00        0           3            39 0 90
84          3.47        11.38       0.00        0           3            23 90 0
85          3.32        11.59       0.00        0           3            49 28 96
86          2.64        9.85        0.33        1           3            35 34 39
87          4.56        12.68       0.33        1           3            5 3 62
88          3.57        10.96       0.00        0           3            97 21 2
89          4.42        12.46       0.00        0           3            39 97 13
90          1.98        9.88        6.33        19          3            0 23 39
91          7.15        13.20       0.00        0           3            39 90 0
92          6.69        14.94       0.00        0           3            81 34 69
93          5.62        13.76       0.00        0           3            59 33 69
94          5.54        12.81       0.00        0           3            90 81 0
95          4.17        12.77       0.33        1           3            29 62 54
96          2.49        10.01       0.67        2           3            52 33 97
97          1.86        10.13       5.00        15          3            14 69 23
98          4.56        12.55       0.00        0           3            39 90 13
99          4.23        12.09       0.33        1           3            42 21 23
