Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.01        1.46        0.00        0           1            1
1           0.00        1.46        1.00        1           1            12
2           0.00        1.45        0.00        0           1            3
3           0.00        1.45        2.00        2           1            4
4           0.00        1.45        1.00        1           1            3
5           0.00        1.44        2.00        2           1            10
6           0.00        1.43        2.00        2           1            7
7           0.00        1.43        2.00        2           1            6
8           0.00        1.43        0.00        0           1            7
9           0.00        1.43        0.00        0           1            6
10          0.00        1.44        1.00        1           1            5
11          0.00        1.45        0.00        0           1            16
12          0.00        1.45        2.00        2           1            13
13          0.00        1.45        1.00        1           1            12
14          0.00        1.44        0.00        0           1            18
15          0.01        1.44        0.00        0           1            5
16          0.00        1.45        3.00        3           1            18
17          0.00        1.45        0.00        0           1            16
18          0.00        1.44        2.00        2           1            16
19          0.04        1.84        1.00        1           1            20
20          0.04        1.88        1.00        1           1            19
21          0.04        1.93        1.00        1           1            22
22          0.04        1.97        1.00        1           1            21
23          0.00        2.02        1.00        1           1            24
24          0.00        2.02        1.00        1           1            23
25          0.00        2.06        1.00        1           1            26
26          0.00        2.06        1.00        1           1            25
27          0.01        1.99        1.00        1           1            30
28          0.02        2.01        0.00        0           1            27
29          0.01        1.97        1.00        1           1            30
30          0.01        1.98        2.00        2           1            29
31          0.00        2.20        0.00        0           1            52
32          0.01        2.22        0.00        0           1            36
33          0.00        2.23        1.00        1           1            34
34          0.00        2.23        1.00        1           1            33
35          0.00        2.21        0.00        0           1            40
36          0.00        2.21        3.00        3           1            39
37          0.00        2.21        0.00        0           1            36
38          0.00        2.21        0.00        0           1            40
39          0.00        2.21        1.00        1           1            36
40          0.00        2.21        3.00        3           1            41
41          0.00        2.21        1.00        1           1            40
42          0.00        2.21        1.00        1           1            47
43          0.00        2.21        1.00        1           1            45
44          0.00        2.20        0.00        0           1            48
45          0.00        2.21        1.00        1           1            43
46          0.00        2.21        1.00        1           1            48
47          0.00        2.21        1.00        1           1            42
48          0.00        2.20        2.00        2           1            46
49          0.00        2.20        1.00        1           1            50
50          0.00        2.20        1.00        1           1            49
51          0.00        2.20        1.00        1           1            52
52          0.00        2.20        2.00        2           1            51
53          0.00        2.17        1.00        1           1            55
54          0.00        2.17        1.00        1           1            56
55          0.00        2.17        2.00        2           1            53
56          0.00        2.17        2.00        2           1            54
57          0.00        2.17        0.00        0           1            59
58          0.00        2.16        0.00        0           1            55
59          0.00        2.17        1.00        1           1            56
60          0.00        2.16        0.00        0           1            67
61          0.00        2.16        1.00        1           1            66
62          0.00        2.16        0.00        0           1            61
63          0.00        2.15        0.00        0           1            65
