Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           4.85        8.41        0.20        1           5            5 37 11 8 13
1           4.26        8.02        0.40        2           5            3 11 14 5 41
2           3.27        7.45        1.60        8           5            12 15 6 17 8
3           4.03        8.04        0.40        2           5            1 41 11 5 14
4           3.70        8.31        1.00        5           5            11 9 2 14 7
5           4.00        7.75        1.00        5           5            11 0 9 14 3
6           3.66        7.58        0.80        4           5            2 12 15 17 8
7           4.23        7.16        0.20        1           5            4 28 11 14 30
8           2.37        7.07        0.80        4           5            25 34 33 27 36
9           4.21        8.99        0.80        4           5            4 14 5 11 6
10          4.55        9.63        0.20        1           5            14 2 4 15 9
11          3.13        7.11        2.60        13          5            20 4 12 14 5
12          3.26        6.73        0.60        3           5            2 11 8 6 30
13          3.37        7.00        0.20        1           5            33 41 21 34 25
14          3.73        8.15        1.80        9           5            11 9 4 20 10
15          3.25        9.24        1.40        7           5            17 16 18 2 11
16          3.62        9.36        0.60        3           5            18 15 17 2 11
17          3.41        10.32       1.00        5           5            15 16 18 2 6
18          4.18        10.54       0.60        3           5            16 15 17 2 11
19          3.32        6.47        0.20        1           5            37 24 28 53 31
20          4.37        8.07        0.40        2           5            11 14 59 15 1
21          1.48        8.44        1.20        6           5            40 33 34 27 25
22          1.28        8.76        2.40        12          5            34 25 30 38 23
23          1.75        9.33        1.20        6           5            34 22 25 24 27
24          1.78        8.67        1.40        7           5            34 22 33 23 25
25          1.27        7.97        3.00        15          5            34 27 22 40 33
26          2.20        9.05        0.60        3           5            21 71 24 33 31
27          1.40        7.74        2.20        11          5            25 34 36 21 38
28          1.86        7.42        0.60        3           5            27 25 32 34 21
29          3.34        8.14        0.00        0           5            22 24 30 34 33
30          1.68        7.97        1.40        7           5            22 34 38 25 27
31          2.42        8.54        0.60        3           5            24 26 39 23 34
32          1.76        8.86        1.00        5           5            55 27 38 61 28
33          1.55        8.03        1.60        8           5            34 25 21 40 24
34          1.22        8.39        3.60        18          5            22 25 27 23 30
35          2.20        9.95        0.20        1           5            55 24 71 32 38
36          1.88        7.96        0.40        2           5            27 25 34 32 42
37          2.58        7.41        0.60        3           5            30 22 19 26 53
38          1.55        8.95        1.20        6           5            22 34 30 27 25
39          2.06        8.86        0.20        1           5            22 23 34 32 38
40          1.40        8.25        0.60        3           5            25 21 34 22 33
41          2.78        7.39        0.60        3           5            25 34 23 22 27
42          0.70        9.55        2.20        11          5            43 45 54 68 51
43          0.56        9.84        2.80        14          5            45 42 51 54 44
44          1.03        9.86        1.80        9           5            43 45 51 42 54
45          0.57        9.92        2.60        13          5            43 42 51 54 44
46          1.25        9.70        0.60        3           5            43 45 50 44 51
47          1.01        9.33        1.20        6           5            45 43 42 71 54
48          1.86        8.26        0.40        2           5            50 54 42 56 49
49          2.56        9.00        0.20        1           5            48 50 60 68 64
50          1.29        9.17        1.40        7           5            45 43 54 46 42
51          0.89        9.53        1.40        7           5            43 45 42 44 54
52          2.84        7.91        0.80        4           5            60 58 61 63 59
53          2.62        8.04        0.60        3           5            71 26 22 37 31
54          1.01        9.70        2.20        11          5            45 43 42 51 47
55          1.93        9.23        1.00        5           5            64 61 32 35 47
56          2.71        8.94        0.40        2           5            48 46 42 68 50
57          2.94        8.41        0.20        1           5            58 60 66 50 63
58          2.00        8.27        1.40        7           5            60 64 63 52 57
59          2.84        6.86        0.80        4           5            63 62 60 58 52
60          2.04        8.45        1.60        8           5            58 63 52 66 62
61          1.56        10.15       1.40        7           5            44 71 67 43 55
62          2.81        8.16        0.60        3           5            63 60 58 59 53
63          2.45        8.65        1.40        7           5            62 60 58 59 61
64          1.72        8.79        1.00        5           5            47 55 45 43 44
65          3.39        6.73        0.00        0           5            56 52 64 63 58
66          1.99        9.54        0.40        2           5            54 50 46 44 60
67          1.52        9.62        0.20        1           5            44 50 61 43 45
68          1.21        9.60        0.80        4           5            42 43 45 54 51
69          2.36        9.56        0.00        0           5            47 55 61 64 71
70          1.85        10.54       0.00        0           5            45 43 47 54 68
71          1.44        9.73        1.20        6           5            47 44 61 45 43
