Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           1.23        5.66        0.80        4           5            61 13 94 16 90
1           1.37        5.56        1.80        9           5            7 31 70 63 79
2           1.99        5.53        1.00        5           5            21 42 22 92 88
3           2.56        5.63        0.60        3           5            42 5 87 21 99
4           2.34        6.26        0.80        4           5            72 54 42 99 5
5           2.49        6.08        0.80        4           5            87 3 42 4 36
6           1.24        4.56        0.80        4           5            16 46 84 23 94
7           1.28        4.78        2.40        12          5            31 1 70 32 51
8           1.75        4.81        0.20        1           5            6 77 84 90 94
9           1.86        5.84        0.20        1           5            35 86 76 15 50
10          1.22        5.67        2.40        12          5            58 52 41 12 86
11          1.58        4.94        0.40        2           5            82 76 98 64 14
12          1.43        5.79        1.20        6           5            60 10 25 53 41
13          1.19        5.36        1.80        9           5            16 0 61 83 90
14          1.55        4.39        1.00        5           5            82 97 77 84 31
15          1.21        5.20        2.80        14          5            50 49 40 58 39
16          1.10        4.92        2.40        12          5            13 61 90 6 0
17          2.55        5.30        0.00        0           5            32 63 51 43 57
18          2.61        5.93        0.00        0           5            15 7 44 62 74
19          1.97        5.49        1.00        5           5            88 92 40 21 52
20          1.43        5.38        0.40        2           5            45 16 90 13 61
21          1.94        5.42        1.60        8           5            2 42 22 88 19
22          2.84        5.65        0.40        2           5            2 21 42 48 88
23          1.28        4.41        1.00        5           5            84 6 91 94 90
24          1.81        6.27        0.20        1           5            53 60 38 32 52
25          1.53        5.48        0.80        4           5            38 12 60 28 31
26          1.62        5.53        0.00        0           5            90 45 46 97 98
27          1.95        5.52        0.00        0           5            71 81 23 30 16
28          1.40        5.38        0.80        4           5            52 39 58 38 15
29          2.23        6.89        0.40        2           5            95 54 44 62 13
30          1.75        4.91        0.20        1           5            23 97 81 94 41
31          1.26        5.00        2.20        11          5            7 79 38 1 32
32          1.39        4.48        2.40        12          5            51 31 7 57 53
33          1.61        5.31        0.80        4           5            90 94 74 16 97
34          1.60        6.49        0.40        2           5            86 10 50 49 66
35          1.57        5.71        0.80        4           5            9 76 86 50 1
36          2.59        5.54        0.40        2           5            70 68 5 1 7
37          1.47        5.79        0.20        1           5            49 15 52 28 39
38          1.21        4.97        1.40        7           5            25 52 66 53 31
39          1.22        5.43        1.60        8           5            91 89 52 15 97
40          1.42        5.65        1.00        5           5            15 50 46 49 58
41          1.43        5.79        1.00        5           5            67 10 52 60 12
42          1.86        4.63        2.00        10          5            2 21 99 77 3
43          2.27        4.62        0.40        2           5            51 48 14 32 31
44          1.97        6.97        1.00        5           5            54 75 29 62 59
45          1.35        5.56        1.20        6           5            20 64 16 90 13
46          1.17        4.73        2.00        10          5            69 98 6 97 40
47          2.39        6.30        0.00        0           5            25 12 66 38 10
48          1.99        4.42        0.40        2           5            77 43 45 14 32
49          1.32        5.98        1.80        9           5            37 52 15 39 40
50          1.53        5.80        1.20        6           5            15 40 34 86 49
51          1.61        4.67        1.20        6           5            32 7 31 70 80
52          1.00        5.44        2.40        12          5            58 66 28 49 10
53          1.38        5.16        1.80        9           5            38 79 60 24 66
54          1.66        6.74        1.60        8           5            62 75 44 13 68
55          2.77        7.26        0.00        0           5            2 21 19 92 25
56          2.47        5.48        0.00        0           5            53 80 7 32 10
57          1.56        5.32        1.00        5           5            70 32 7 1 31
58          1.25        5.40        1.40        7           5            52 10 66 15 82
59          2.16        6.47        0.40        2           5            93 44 74 35 64
60          1.37        5.64        1.40        7           5            12 41 10 53 79
61          1.14        5.31        1.20        6           5            0 16 94 83 13
62          1.80        6.65        1.20        6           5            54 74 68 75 33
63          2.09        6.27        0.80        4           5            1 7 32 31 57
64          1.26        5.04        1.40        7           5            69 98 82 45 46
65          2.65        6.30        0.20        1           5            16 20 99 42 92
66          1.38        5.37        1.40        7           5            52 38 58 10 53
67          1.47        6.20        0.20        1           5            41 10 39 60 15
68          1.79        5.48        0.80        4           5            74 62 54 46 69
69          1.09        4.93        1.40        7           5            46 64 98 97 82
70          1.58        5.65        1.20        6           5            7 57 1 51 66
71          1.54        5.80        0.80        4           5            85 81 16 96 49
72          2.80        6.27        0.40        2           5            4 75 99 54 84
73          1.93        5.09        0.20        1           5            1 32 57 7 80
74          1.41        5.42        1.20        6           5            68 98 97 46 33
75          1.62        6.40        0.80        4           5            54 44 13 0 33
76          1.39        4.89        0.80        4           5            98 35 15 97 11
77          1.67        4.28        1.00        5           5            84 8 14 23 90
78          2.66        6.40        0.00        0           5            19 42 63 7 70
79          1.46        5.44        0.80        4           5            31 53 60 1 10
80          1.93        5.25        0.60        3           5            51 53 32 12 73
81          1.35        5.29        0.80        4           5            94 91 90 46 71
82          1.25        4.54        1.20        6           5            14 69 97 64 58
83          1.26        5.07        0.60        3           5            61 91 13 90 94
84          1.04        4.53        1.80        9           5            23 90 77 91 94
85          1.60        6.35        0.40        2           5            71 49 45 52 28
86          1.55        6.59        1.00        5           5            34 10 35 50 15
87          2.83        6.59        0.40        2           5            5 3 4 42 36
88          1.91        5.26        1.20        6           5            92 19 97 21 15
89          1.77        5.96        0.20        1           5            39 91 85 97 45
90          0.99        5.09        3.20        16          5            91 94 16 84 33
91          1.14        5.23        1.80        9           5            90 84 94 39 83
92          2.04        5.89        1.00        5           5            88 19 2 39 21
93          2.13        5.52        0.20        1           5            59 16 69 64 74
94          1.06        5.10        2.60        13          5            90 91 84 61 81
95          2.76        7.26        0.20        1           5            29 62 63 11 54
96          1.60        5.48        0.20        1           5            49 71 90 15 91
97          1.17        4.53        2.60        13          5            98 69 82 46 94
98          1.08        4.73        1.60        8           5            46 97 76 69 64
99          2.51        5.04        1.00        5           5            42 88 4 72 65
