Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           1.49        10.17       2.67        8           3            13 90 75
1           3.64        10.18       0.33        1           3            31 70 35
2           2.54        9.71        3.33        10          3            21 8 42
3           2.81        10.10       1.67        5           3            5 21 2
4           4.57        11.00       0.00        0           3            5 54 3
5           2.88        10.62       1.67        5           3            87 3 2
6           4.06        11.81       0.00        0           3            23 90 8
7           5.57        11.69       0.00        0           3            70 76 66
8           2.26        9.10        1.00        3           3            90 23 81
9           4.19        9.76        0.00        0           3            35 50 52
10          5.15        11.60       0.00        0           3            52 12 28
11          1.73        9.18        2.67        8           3            14 69 97
12          1.53        8.39        3.67        11          3            53 66 52
13          1.43        9.76        3.33        10          3            0 90 75
14          1.54        8.91        3.33        10          3            97 23 11
15          2.02        9.63        0.33        1           3            50 39 52
16          2.89        9.58        0.33        1           3            13 61 0
17          2.75        9.67        0.67        2           3            43 11 14
18          4.66        11.57       0.00        0           3            50 62 75
19          3.18        10.43       0.33        1           3            52 21 53
20          1.74        10.36       1.00        3           3            13 90 0
21          2.50        9.79        3.00        9           3            2 27 23
22          3.41        11.45       0.00        0           3            2 21 48
23          1.52        9.11        3.67        11          3            90 97 14
24          5.61        12.35       0.00        0           3            53 66 38
25          3.58        9.86        0.00        0           3            12 28 66
26          4.37        10.20       0.00        0           3            90 52 39
27          1.99        9.82        0.33        1           3            23 81 39
28          1.63        8.70        2.00        6           3            52 39 66
29          2.26        10.55       1.00        3           3            54 62 13
30          2.62        10.07       0.00        0           3            23 97 11
31          3.34        9.86        0.33        1           3            1 53 66
32          4.35        10.49       0.00        0           3            51 53 80
33          1.65        10.32       2.00        6           3            90 96 75
34          1.64        8.59        1.00        3           3            50 66 52
35          1.96        8.93        2.67        8           3            50 11 86
36          3.30        10.34       0.00        0           3            70 48 5
37          5.14        12.26       0.00        0           3            49 52 28
38          3.23        10.13       0.33        1           3            52 66 53
39          1.37        9.21        4.33        13          3            52 28 97
40          5.26        12.53       0.00        0           3            50 52 66
41          5.52        12.58       0.00        0           3            52 12 53
42          2.57        11.02       1.00        3           3            99 2 21
43          2.32        9.13        1.00        3           3            48 14 17
44          4.91        13.49       0.00        0           3            54 75 29
45          3.31        11.96       0.00        0           3            20 13 90
46          3.30        11.45       0.00        0           3            69 81 97
47          6.67        13.00       0.00        0           3            66 52 12
48          2.06        9.64        1.00        3           3            43 14 20
49          2.31        10.16       0.67        2           3            52 85 39
50          1.61        8.71        2.00        6           3            34 35 39
51          2.66        9.07        0.33        1           3            43 70 12
52          1.26        8.41        7.00        21          3            66 28 39
53          1.38        8.20        4.67        14          3            66 52 12
54          1.63        10.38       2.33        7           3            62 75 13
55          3.48        11.36       0.00        0           3            2 21 19
56          2.67        8.63        0.00        0           3            53 12 66
57          3.97        11.09       0.00        0           3            70 66 73
58          3.09        10.11       0.00        0           3            52 14 66
59          2.29        10.37       0.33        1           3            35 69 11
60          3.40        10.09       0.00        0           3            12 53 66
61          3.04        10.23       0.33        1           3            16 0 90
62          1.86        10.30       2.00        6           3            54 75 33
63          5.17        11.34       0.00        0           3            11 17 14
64          3.32        11.15       0.00        0           3            69 97 90
65          4.85        13.27       0.00        0           3            20 42 99
66          1.46        8.22        6.00        18          3            52 53 70
67          3.69        10.85       0.00        0           3            39 34 52
68          4.65        11.33       0.00        0           3            54 62 97
69          1.68        9.34        2.67        8           3            97 39 11
70          1.96        8.90        2.33        7           3            66 53 12
71          4.40        11.94       0.00        0           3            81 35 15
72          3.66        11.83       0.00        0           3            75 54 29
73          2.39        9.04        0.67        2           3            35 70 53
74          5.35        14.05       0.00        0           3            97 33 62
75          1.49        10.28       2.67        8           3            54 13 0
76          5.22        11.32       0.33        1           3            97 35 11
77          3.36        10.71       0.00        0           3            23 14 8
78          3.45        10.44       0.00        0           3            3 5 2
79          8.22        14.40       0.00        0           3            53 12 66
80          3.90        11.30       0.33        1           3            53 73 12
81          1.75        9.53        2.00        6           3            90 39 23
82          3.13        11.00       0.00        0           3            69 14 97
83          2.28        9.58        0.00        0           3            90 13 97
84          3.30        11.09       0.00        0           3            23 90 0
85          2.42        10.54       0.33        1           3            49 52 28
86          2.13        9.62        0.33        1           3            35 34 39
87          3.79        11.56       0.33        1           3            5 3 2
88          2.72        10.31       0.33        1           3            2 97 21
89          3.83        11.82       0.00        0           3            39 97 13
90          1.26        9.54        5.67        17          3            33 0 23
91          6.78        12.32       0.00        0           3            39 90 88
92          6.12        14.40       0.00        0           3            2 81 21
93          4.86        12.78       0.00        0           3            59 69 33
94          5.13        11.98       0.00        0           3            90 81 0
95          3.29        11.44       0.00        0           3            29 62 33
96          1.75        9.23        0.33        1           3            33 90 52
97          1.29        9.55        5.33        16          3            69 23 14
98          4.18        12.21       0.00        0           3            97 69 13
99          3.21        11.41       0.67        2           3            42 3 21
